County,St,Ct,fips
Autauga,01,001,01001
Baldwin,01,003,01003
Barbour,01,005,01005
Bibb,01,007,01007
Blount,01,009,01009
Bullock,01,011,01011
Butler,01,013,01013
Calhoun,01,015,01015
Chambers,01,017,01017
Cherokee,01,019,01019
Chilton,01,021,01021
Choctaw,01,023,01023
Clarke,01,025,01025
Clay,01,027,01027
Cleburne,01,029,01029
Coffee,01,031,01031
Colbert,01,033,01033
Conecuh,01,035,01035
Coosa,01,037,01037
Covington,01,039,01039
Crenshaw,01,041,01041
Cullman,01,043,01043
Dale,01,045,01045
Dallas,01,047,01047
De Kalb,01,049,01049
Elmore,01,051,01051
Escambia,01,053,01053
Etowah,01,055,01055
Fayette,01,057,01057
Franklin,01,059,01059
Geneva,01,061,01061
Greene,01,063,01063
Hale,01,065,01065
Henry,01,067,01067
Houston,01,069,01069
Jackson,01,071,01071
Jefferson,01,073,01073
Lamar,01,075,01075
Lauderdale,01,077,01077
Lawrence,01,079,01079
Lee,01,081,01081
Limestone,01,083,01083
Lowndes,01,085,01085
Macon,01,087,01087
Madison,01,089,01089
Marengo,01,091,01091
Marion,01,093,01093
Marshall,01,095,01095
Mobile,01,097,01097
Monroe,01,099,01099
Montgomery,01,101,01101
Morgan,01,103,01103
Perry,01,105,01105
Pickens,01,107,01107
Pike,01,109,01109
Randolph,01,111,01111
Russell,01,113,01113
St Clair,01,115,01115
Shelby,01,117,01117
Sumter,01,119,01119
Talladega,01,121,01121
Tallapoosa,01,123,01123
Tuscaloosa,01,125,01125
Walker,01,127,01127
Washington,01,129,01129
Wilcox,01,131,01131
Winston,01,133,01133
Aleutians East,02,013,02013
Aleutians West,02,016,02016
Anchorage,02,020,02020
Bethel,02,050,02050
Bristol Bay,02,060,02060
Denali,02,068,02068
Dillingham,02,070,02070
Fairbanks North Star,02,090,02090
Haines,02,100,02100
Juneau,02,110,02110
Kenai Peninsula,02,122,02122
Ketchikan Gateway,02,130,02130
Kodiak Island,02,150,02150
Lake and Peninsula,02,164,02164
Matanuska Susitna,02,170,02170
Nome,02,180,02180
North Slope,02,185,02185
Northwest Arctic,02,188,02188
Prince Wales Ketchikan,02,201,02201
Sitka,02,220,02220
Skagway Hoonah Angoon,02,232,02232
Southeast Fairbanks,02,240,02240
Valdez Cordova,02,261,02261
Wade Hampton,02,270,02270
Wrangell Petersburg,02,280,02280
Yakutat,02,282,02282
Yukon Koyukuk,02,290,02290
Apache,04,001,04001
Cochise,04,003,04003
Coconino,04,005,04005
Gila,04,007,04007
Graham,04,009,04009
Greenlee,04,011,04011
La Paz,04,012,04012
Maricopa,04,013,04013
Mohave,04,015,04015
Navajo,04,017,04017
Pima,04,019,04019
Pinal,04,021,04021
Santa Cruz,04,023,04023
Yavapai,04,025,04025
Yuma,04,027,04027
Arkansas,05,001,05001
Ashley,05,003,05003
Baxter,05,005,05005
Benton,05,007,05007
Boone,05,009,05009
Bradley,05,011,05011
Calhoun,05,013,05013
Carroll,05,015,05015
Chicot,05,017,05017
Clark,05,019,05019
Clay,05,021,05021
Cleburne,05,023,05023
Cleveland,05,025,05025
Columbia,05,027,05027
Conway,05,029,05029
Craighead,05,031,05031
Crawford,05,033,05033
Crittenden,05,035,05035
Cross,05,037,05037
Dallas,05,039,05039
Desha,05,041,05041
Drew,05,043,05043
Faulkner,05,045,05045
Franklin,05,047,05047
Fulton,05,049,05049
Garland,05,051,05051
Grant,05,053,05053
Greene,05,055,05055
Hempstead,05,057,05057
Hot Spring,05,059,05059
Howard,05,061,05061
Independence,05,063,05063
Izard,05,065,05065
Jackson,05,067,05067
Jefferson,05,069,05069
Johnson,05,071,05071
Lafayette,05,073,05073
Lawrence,05,075,05075
Lee,05,077,05077
Lincoln,05,079,05079
Little River,05,081,05081
Logan,05,083,05083
Lonoke,05,085,05085
Madison,05,087,05087
Marion,05,089,05089
Miller,05,091,05091
Mississippi,05,093,05093
Monroe,05,095,05095
Nevada,05,099,05099
Newton,05,101,05101
Ouachita,05,103,05103
Perry,05,105,05105
Phillips,05,107,05107
Pike,05,109,05109
Poinsett,05,111,05111
Polk,05,113,05113
Pope,05,115,05115
Prairie,05,117,05117
Pulaski,05,119,05119
Randolph,05,121,05121
St Francis,05,123,05123
Saline,05,125,05125
Scott,05,127,05127
Searcy,05,129,05129
Sebastian,05,131,05131
Sevier,05,133,05133
Sharp,05,135,05135
Stone,05,137,05137
Union,05,139,05139
Van Buren,05,141,05141
Washington,05,143,05143
White,05,145,05145
Woodruff,05,147,05147
Yell,05,149,05149
Alameda,06,001,06001
Alpine,06,003,06003
Amador,06,005,06005
Butte,06,007,06007
Calaveras,06,009,06009
Colusa,06,011,06011
Contra Costa,06,013,06013
Del Norte,06,015,06015
El Dorado,06,017,06017
Fresno,06,019,06019
Glenn,06,021,06021
Humboldt,06,023,06023
Imperial,06,025,06025
Inyo,06,027,06027
Kern,06,029,06029
Kings,06,031,06031
Lake,06,033,06033
Lassen,06,035,06035
Los Angeles,06,037,06037
Madera,06,039,06039
Marin,06,041,06041
Mariposa,06,043,06043
Mendocino,06,045,06045
Merced,06,047,06047
Modoc,06,049,06049
Mono,06,051,06051
Monterey,06,053,06053
Napa,06,055,06055
Nevada,06,057,06057
Orange,06,059,06059
Placer,06,061,06061
Plumas,06,063,06063
Riverside,06,065,06065
Sacramento,06,067,06067
San Benito,06,069,06069
San Bernardino,06,071,06071
San Diego,06,073,06073
San Francisco,06,075,06075
San Joaquin,06,077,06077
San Luis Obispo,06,079,06079
San Mateo,06,081,06081
Santa Barbara,06,083,06083
Santa Clara,06,085,06085
Santa Cruz,06,087,06087
Shasta,06,089,06089
Sierra,06,091,06091
Siskiyou,06,093,06093
Solano,06,095,06095
Sonoma,06,097,06097
Stanislaus,06,099,06099
Sutter,06,101,06101
Tehama,06,103,06103
Trinity,06,105,06105
Tulare,06,107,06107
Tuolumne,06,109,06109
Ventura,06,111,06111
Yolo,06,113,06113
Yuba,06,115,06115
Adams,08,001,08001
Alamosa,08,003,08003
Arapahoe,08,005,08005
Archuleta,08,007,08007
Baca,08,009,08009
Bent,08,011,08011
Boulder,08,013,08013
Broomfield,08,014,08014
Chaffee,08,015,08015
Cheyenne,08,017,08017
Clear Creek,08,019,08019
Conejos,08,021,08021
Costilla,08,023,08023
Crowley,08,025,08025
Custer,08,027,08027
Delta,08,029,08029
Denver,08,031,08031
Dolores,08,033,08033
Douglas,08,035,08035
Eagle,08,037,08037
Elbert,08,039,08039
El Paso,08,041,08041
Fremont,08,043,08043
Garfield,08,045,08045
Gilpin,08,047,08047
Grand,08,049,08049
Gunnison,08,051,08051
Hinsdale,08,053,08053
Huerfano,08,055,08055
Jackson,08,057,08057
Jefferson,08,059,08059
